"name","longitude","latitude","sid1","sid1","state","elev","uid","unit_code"
"WOODSTOCK",-72.50723,43.63028,"439984 2","439984 2","VT",600,25047,"MABI"
"BARNARD",-72.61667,43.75,"430315 2","430315 2","VT",1310,39784,"MABI"
"POMFRET 2.6 N",-72.5255,43.7423,"US1VTWR0002 6","US1VTWR0002 6","VT",1585,60903,"MABI"
"WEST HARTFORD",-72.41666,43.71667,"439329 2","439329 2","VT",410,25054,"MABI"
